test,bin,reference_real,reference_imag,rtl_real,rtl_imag
1,26,0,0,0,0
1,27,0,0,0,0
1,28,0,0,0,0
1,29,0,0,0,0
1,30,0,0,0,0
1,31,0,0,0,0
1,32,0,0,0,0
1,33,0,0,0,0
1,34,0,0,0,0
1,35,0,0,0,0
1,36,0,0,0,0
1,37,0,0,0,0
1,38,0,0,0,0
1,39,0,0,0,0
1,40,0,0,0,0
1,41,0,0,0,0
1,42,0,0,0,0
1,43,0,0,0,0
1,44,0,0,0,0
1,45,0,0,0,0
1,46,0,0,0,0
1,47,0,0,0,0
1,48,0,0,0,0
1,49,0,0,0,0
1,50,0,0,0,0
1,51,0,0,0,0
1,52,0,0,0,0
1,53,0,0,0,0
1,54,0,0,0,0
1,55,0,0,0,0
1,56,0,0,0,0
1,57,0,0,0,0
1,58,0,0,0,0
1,59,0,0,0,0
1,60,0,0,0,0
1,61,0,0,0,0
1,62,0,0,0,0
1,63,0,0,0,0
2,0,0,0,0,0
2,1,0,0,0,0
2,2,0,0,0,0
2,3,-0.08219929675,-4.78349998501e-16,-0.15625,-0.0703125
2,4,0,0,0,0
2,5,0,0,0,0
2,6,0,0,0,0
2,7,31.9561186743,0,32.0390625,0.015625
2,8,0,0,0,0
2,9,0,0,0,0
2,10,0,0,0,0
2,11,0.0477264333982,4.76290827699e-16,0.03125,0.0546875
2,12,0,0,0,0
2,13,0,0,0,0
2,14,0,0,0,0
2,15,0.125960031316,-1.70478509746e-16,0.1015625,-0.046875
2,16,0,0,0,0
2,17,0,0,0,0
2,18,0,0,0,0
2,19,0.000945969608459,-5.63785129692e-18,-0.0078125,0.015625
2,20,0,0,0,0
2,21,0,0,0,0
2,22,0,0,0,0
2,23,0.0399595163183,-5.55111512313e-16,0.0078125,0.0234375
2,24,0,0,0,0
2,25,0,0,0,0
2,26,0,0,0,0
2,27,0.0259035889494,2.17653257295e-16,0.0234375,-0.0078125
2,28,0,0,0,0
2,29,0,0,0,0
2,30,0,0,0,0
2,31,-0.0663881808042,-6.41506247351e-16,-0.0703125,-0.0234375
2,32,0,0,0,0
2,33,0,0,0,0
2,34,0,0,0,0
2,35,0.0565959063013,-3.03576608296e-18,0.0625,-0.0078125
2,36,0,0,0,0
2,37,0,0,0,0
2,38,0,0,0,0
2,39,0.00789061552446,-1.55431223448e-15,0.0390625,-0.015625
2,40,0,0,0,0
2,41,0,0,0,0
2,42,0,0,0,0
2,43,0.0339103407679,1.43872814962e-16,0.03125,0.0078125
2,44,0,0,0,0
2,45,0,0,0,0
2,46,0,0,0,0
2,47,0.0159725903706,6.14567719596e-16,0.0234375,0
2,48,0,0,0,0
2,49,0,0,0,0
2,50,0,0,0,0
2,51,-0.0315972998258,-1.30537941567e-16,-0.0234375,0
2,52,0,0,0,0
2,53,0,0,0,0
2,54,0,0,0,0
2,55,-0.12569381907,1.22124532709e-15,-0.1484375,-0.0234375
2,56,0,0,0,0
2,57,0,0,0,0
2,58,0,0,0,0
2,59,0.0388117808532,-2.20255342509e-16,0.0390625,0.0078125
2,60,0,0,0,0
2,61,0,0,0,0
2,62,0,0,0,0
2,63,-0.0439168512662,1.0855954572e-15,0.0078125,0.0703125
3,0,6.640625,-7.9921875,6.640625,-7.9921875
3,1,-1.74707052695,-1.74433040732,-1.7890625,-1.765625
3,2,-0.0909798150731,-2.17914940645,-0.125,-2.21875
3,3,1.90112141741,5.61206856574,1.8125,5.59375
3,4,5.45719517891,5.36273996383,5.4453125,5.3671875
3,5,5.49096817521,-3.60244431704,5.4609375,-3.6015625
3,6,13.4775093744,-2.06482880668,13.4609375,-2.078125
3,7,-1.11009719992,-1.63065640101,-1.140625,-1.6328125
3,8,1.48500434637,2.95596167562,1.453125,2.9765625
3,9,-1.54033869825,-1.10546519361,-1.5234375,-1.09375
3,10,5.52442036792,1.30916435244,5.5078125,1.3203125
3,11,-0.584240278437,-5.58333502564,-0.625,-5.6015625
3,12,-1.775564419,3.84993786259,-1.796875,3.859375
3,13,1.16189155909,-1.39277673997,1.15625,-1.40625
3,14,2.17800720391,7.57707154302,2.1796875,7.609375
3,15,7.01199197205,3.65824191503,7.03125,3.6953125
3,16,-1.3515625,-0.734375,-1.3515625,-0.734375
3,17,-6.73925984732,4.34181434218,-6.765625,4.34375
3,18,-1.78228620316,-16.2822752284,-1.8046875,-16.3359375
3,19,-3.17970338202,4.34766071686,-3.1953125,4.3359375
3,20,-0.606649124521,-4.19843495321,-0.625,-4.203125
3,21,1.55502775908,-0.110901139931,1.5625,-0.15625
3,22,-4.81051937961,6.61625849425,-4.8046875,6.609375
3,23,2.08368083485,7.79651026935,2.0859375,7.7890625
3,24,1.77804185762,-9.44515945476,1.7734375,-9.484375
3,25,-1.81667658034,0.719998884153,-1.796875,0.734375
3,26,4.16155858011,-5.14132532332,4.203125,-5.125
3,27,0.726307691501,2.2887834337,0.7265625,2.2734375
3,28,1.70275388161,-9.36845594349,1.6953125,-9.3984375
3,29,2.65323332678,8.38137740718,2.640625,8.3203125
3,30,-0.921073130952,5.69727817784,-0.9375,5.6953125
3,31,-0.833572709629,-1.02840723586,-0.8359375,-1.0546875
3,32,-3.390625,4.0859375,-3.390625,4.0859375
3,33,15.9294466916,0.361050958863,15.9296875,0.328125
3,34,0.242777090455,-2.9647817876,0.25,-2.984375
3,35,-4.59671475885,0.311086521571,-4.609375,0.3125
3,36,-1.20112724691,-3.40067568519,-1.1953125,-3.3984375
3,37,-1.68357497463,-14.9698575313,-1.6640625,-14.9609375
3,38,6.39600839974,1.58600960178,6.4140625,1.59375
3,39,-1.49413096075,-4.48191714171,-1.484375,-4.5234375
3,40,10.8431206536,-6.15908667562,10.875,-6.1796875
3,41,-0.646528383137,-1.08209829305,-0.6171875,-1.078125
3,42,-0.319552930896,2.6375139084,-0.2890625,2.6640625
3,43,1.36997780762,1.92846889413,1.40625,1.9296875
3,44,1.69102313423,-5.39680328845,1.703125,-5.375
3,45,-0.364995250081,-1.27402484694,-0.34375,-1.265625
3,46,-0.777368299616,1.93475767824,-0.7890625,1.921875
3,47,2.5574570567,2.39523410514,2.578125,2.3984375
3,48,-2.8984375,-10.203125,-2.8984375,-10.203125
3,49,-2.47671363914,-3.19773424396,-2.5,-3.1875
3,50,-3.49625844441,-1.64232485563,-3.5078125,-1.6171875
3,51,-2.80352991507,1.42424237779,-2.8203125,1.4453125
3,52,2.10058119252,2.20512067458,2.125,2.203125
3,53,-5.52084859464,0.239234091654,-5.515625,0.25
3,54,1.13935098378,1.1903835859,1.1484375,1.1875
3,55,7.91447093303,1.16844765353,7.9765625,1.1796875
3,56,0.706333142382,3.11703445476,0.7109375,3.15625
3,57,-2.11320849092,-9.15284779571,-2.125,-9.15625
3,58,4.51032135505,4.2006783406,4.515625,4.234375
3,59,-0.196325075021,-3.69379105265,-0.1953125,-3.6640625
3,60,-3.93071259685,-4.92842863064,-3.9140625,-4.9296875
3,61,-0.641352526375,-7.41099517518,-0.609375,-7.3046875
3,62,2.81808484833,-2.22443027436,2.828125,-2.2265625
3,63,5.23330656652,-4.51263759596,5.2890625,-4.4765625
4,0,1.5546875,-3.8671875,1.5546875,-3.8671875
4,1,6.99031055556,3.63917118322,6.9453125,3.546875
4,2,0.611897329711,-0.453150236699,0.5625,-0.4609375
4,3,-5.97766806603,-0.646959949882,-6.046875,-0.65625
4,4,-3.56669263372,-2.46342724215,-3.578125,-2.46875
4,5,6.96936677082,0.144501708718,6.9609375,0.1640625
4,6,-4.00504951388,-12.452695037,-4.046875,-12.453125
4,7,2.24794077626,0.810066394206,2.265625,0.796875
4,8,-3.30093569734,6.50901819479,-3.296875,6.5078125
4,9,-8.40572724321,-0.350002490388,-8.4296875,-0.3359375
4,10,-2.94691031018,-10.1312212171,-2.9609375,-10.15625
4,11,-4.44778645591,8.07160166766,-4.453125,8.078125
4,12,-3.50160792907,-2.91217840572,-3.5234375,-2.921875
4,13,3.92866350143,4.78125393997,3.921875,4.75
4,14,3.51239921332,1.91741768039,3.5703125,1.9140625
4,15,5.47333577567,0.635461470734,5.484375,0.625
4,16,2.5859375,-8.6484375,2.5859375,-8.6484375
4,17,4.01528147102,2.70138557874,4,2.671875
4,18,-0.536537109162,-5.86050239358,-0.5234375,-5.859375
4,19,-2.07690253075,1.8269937218,-2.0703125,1.8359375
4,20,-2.38358334383,1.38287530552,-2.390625,1.3828125
4,21,5.5576974994,-2.86021736208,5.5625,-2.8671875
4,22,-8.89969215542,8.61724314,-8.9140625,8.625
4,23,2.68910089809,3.73791826171,2.6953125,3.71875
4,24,-1.81303887321,6.64213958947,-1.8046875,6.6328125
4,25,3.24328197396,2.30903049594,3.2890625,2.3203125
4,26,-8.22167747522,-1.00577451674,-8.2109375,-1
4,27,3.23992094238,-0.690743382025,3.2265625,-0.640625
4,28,2.14139024596,-1.71088587558,2.15625,-1.7265625
4,29,-3.30952380928,8.48510074288,-3.296875,8.453125
4,30,0.88990241317,1.29523987674,0.8828125,1.2890625
4,31,-8.02118889648,-7.17258124827,-8.046875,-7.234375
4,32,-0.0390625,3.6015625,-0.0390625,3.6015625
4,33,1.35518429128,5.19648901906,1.3828125,5.234375
4,34,3.78155582574,-2.62904711378,3.796875,-2.6484375
4,35,5.95120901187,-1.84390481229,5.9375,-1.859375
4,36,6.02052391338,-4.38244159681,6.03125,-4.40625
4,37,-5.873287973,2.96140602548,-5.8828125,2.9609375
4,38,-2.36854216479,2.34753832321,-2.359375,2.328125
4,39,-4.12170293375,8.67794505858,-4.140625,8.703125
4,40,-4.98031430266,5.64723180521,-4.984375,5.6484375
4,41,1.18190708196,-2.53543923702,1.1640625,-2.5546875
4,42,2.95502542781,-8.03775977062,2.9296875,-8.046875
4,43,6.34641455483,0.582277242615,6.34375,0.53125
4,44,1.12755095718,-1.02748666125,1.1171875,-1.015625
4,45,-3.13968049028,0.675406982356,-3.125,0.703125
4,46,-5.84541319603,5.96408063089,-5.8671875,5.9765625
4,47,10.8445345827,6.60556577579,10.875,6.640625
4,48,9.4921875,1.8515625,9.4921875,1.8515625
4,49,-9.05894573331,-1.9883436012,-9.078125,-1.984375
4,50,3.24578280647,-7.08096773447,3.2890625,-7.0625
4,51,-6.11884734998,3.08025211343,-6.1015625,3.0546875
4,52,1.89850206418,0.587993533435,1.90625,0.6171875
4,53,-0.507319082221,6.4151490757,-0.515625,6.3984375
4,54,0.562589852494,-2.11050137302,0.5390625,-2.125
4,55,2.84914105317,-3.45448142389,2.8671875,-3.5
4,56,-5.43696112679,9.13911041053,-5.4453125,9.1484375
4,57,9.30945029599,-5.10348005879,9.3515625,-5.0859375
4,58,-1.38913649517,2.88592298296,-1.3828125,2.921875
4,59,8.90221825147,-8.84756989579,8.9140625,-8.84375
4,60,1.82641672592,-3.97444905745,1.84375,-3.9609375
4,61,2.61834088988,3.15358799741,2.625,3.25
4,62,5.02880555114,-3.14082324119,5.0703125,-3.1171875
4,63,3.84528038647,1.50315900562,3.875,1.625
