OpenROAD 26Q2-254-g61932e897 
Features included (+) or not (-): +GPU +GUI +Python
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
openroad> read_db physical/results/padframe/route/floorplan.odb
openroad> connect_by_abutment
[ERROR PAD-0002] IO_CORNER_NORTH_WEST_INST/DVDD (VDD) and IO_FILL_N_0355/DVSS (VSS) are touching, but are connected to different nets
PAD-0002
while evaluating connect_by_abutment
openroad> check_power_grid -net VDD -error_file physical/results/padframe/pdn_trials/oriented_abutment/vdd_errors.rpt
[WARNING PSM-0038] Unconnected shape on net VDD at (375.200um, 503.550um) - (376.565um, 504.450um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (400.400um, 579.150um) - (400.645um, 580.050um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (400.645um, 653.710um) - (400.875um, 655.650um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (400.400um, 654.750um) - (400.645um, 655.650um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (400.645um, 729.310um) - (400.875um, 731.250um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (400.400um, 730.350um) - (400.645um, 731.250um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (400.400um, 805.950um) - (400.645um, 806.850um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (400.645um, 804.910um) - (400.875um, 806.850um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (400.645um, 880.510um) - (400.875um, 882.450um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (400.400um, 881.550um) - (400.645um, 882.450um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (400.645um, 956.110um) - (400.875um, 958.050um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (400.400um, 957.150um) - (400.645um, 958.050um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (400.400um, 1032.750um) - (400.645um, 1033.650um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (400.645um, 1031.710um) - (400.875um, 1033.650um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (400.400um, 1108.350um) - (400.645um, 1109.250um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (400.645um, 1107.310um) - (400.875um, 1109.250um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (400.875um, 503.550um) - (402.785um, 504.450um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (400.875um, 579.150um) - (402.785um, 580.050um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (400.875um, 654.750um) - (402.785um, 655.650um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (400.875um, 730.350um) - (402.785um, 731.250um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (400.875um, 805.950um) - (402.785um, 806.850um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (400.875um, 881.550um) - (402.785um, 882.450um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (400.875um, 957.150um) - (402.785um, 958.050um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (400.875um, 1032.750um) - (402.785um, 1033.650um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (400.875um, 1108.350um) - (402.785um, 1109.250um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (402.785um, 502.510um) - (403.015um, 504.450um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (402.785um, 578.110um) - (403.015um, 580.050um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (402.785um, 653.710um) - (403.015um, 655.650um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (402.785um, 729.310um) - (403.015um, 731.250um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (402.785um, 804.910um) - (403.015um, 806.850um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (402.785um, 880.510um) - (403.015um, 882.450um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (402.785um, 956.110um) - (403.015um, 958.050um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (402.785um, 1031.710um) - (403.015um, 1033.650um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (402.785um, 1107.310um) - (403.015um, 1109.250um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (403.015um, 503.550um) - (405.025um, 504.450um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (403.015um, 579.150um) - (405.025um, 580.050um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (403.015um, 654.750um) - (405.025um, 655.650um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (403.015um, 730.350um) - (405.025um, 731.250um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (403.015um, 805.950um) - (405.025um, 806.850um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (403.015um, 881.550um) - (405.025um, 882.450um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (403.015um, 957.150um) - (405.025um, 958.050um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (403.015um, 1032.750um) - (405.025um, 1033.650um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (403.015um, 1108.350um) - (405.025um, 1109.250um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (405.025um, 502.510um) - (405.255um, 504.450um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (405.025um, 578.110um) - (405.255um, 580.050um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (405.025um, 653.710um) - (405.255um, 655.650um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (405.025um, 729.310um) - (405.255um, 731.250um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (405.025um, 804.910um) - (405.255um, 806.850um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (405.025um, 880.510um) - (405.255um, 882.450um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (405.025um, 956.110um) - (405.255um, 958.050um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (405.025um, 1031.710um) - (405.255um, 1033.650um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (405.025um, 1107.310um) - (405.255um, 1109.250um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (405.255um, 503.550um) - (407.265um, 504.450um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (405.255um, 579.150um) - (407.265um, 580.050um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (405.255um, 654.750um) - (407.265um, 655.650um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (405.255um, 730.350um) - (407.265um, 731.250um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (405.255um, 805.950um) - (407.265um, 806.850um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (405.255um, 881.550um) - (407.265um, 882.450um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (405.255um, 957.150um) - (407.265um, 958.050um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (405.255um, 1032.750um) - (407.265um, 1033.650um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (405.255um, 1108.350um) - (407.265um, 1109.250um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (407.265um, 502.510um) - (407.495um, 504.450um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (407.265um, 578.110um) - (407.495um, 580.050um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (407.265um, 653.710um) - (407.495um, 655.650um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (407.265um, 729.310um) - (407.495um, 731.250um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (407.265um, 804.910um) - (407.495um, 806.850um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (407.265um, 880.510um) - (407.495um, 882.450um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (407.265um, 956.110um) - (407.495um, 958.050um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (407.265um, 1031.710um) - (407.495um, 1033.650um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (407.265um, 1107.310um) - (407.495um, 1109.250um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (407.495um, 503.550um) - (409.505um, 504.450um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (407.495um, 579.150um) - (409.505um, 580.050um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (407.495um, 654.750um) - (409.505um, 655.650um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (407.495um, 730.350um) - (409.505um, 731.250um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (407.495um, 805.950um) - (409.505um, 806.850um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (407.495um, 881.550um) - (409.505um, 882.450um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (407.495um, 957.150um) - (409.505um, 958.050um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (407.495um, 1032.750um) - (409.505um, 1033.650um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (407.495um, 1108.350um) - (409.505um, 1109.250um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (409.505um, 502.510um) - (409.735um, 504.450um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (409.505um, 578.110um) - (409.735um, 580.050um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (409.505um, 653.710um) - (409.735um, 655.650um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (409.505um, 729.310um) - (409.735um, 731.250um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (409.505um, 804.910um) - (409.735um, 806.850um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (409.505um, 880.510um) - (409.735um, 882.450um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (409.505um, 956.110um) - (409.735um, 958.050um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (409.505um, 1031.710um) - (409.735um, 1033.650um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (409.505um, 1107.310um) - (409.735um, 1109.250um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (409.735um, 503.550um) - (411.745um, 504.450um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (409.735um, 579.150um) - (411.745um, 580.050um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (409.735um, 654.750um) - (411.745um, 655.650um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (409.735um, 730.350um) - (411.745um, 731.250um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (409.735um, 805.950um) - (411.745um, 806.850um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (409.735um, 881.550um) - (411.745um, 882.450um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (409.735um, 957.150um) - (411.745um, 958.050um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (409.735um, 1032.750um) - (411.745um, 1033.650um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (409.735um, 1108.350um) - (411.745um, 1109.250um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (411.745um, 502.510um) - (411.975um, 504.450um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (411.745um, 578.110um) - (411.975um, 580.050um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (411.745um, 653.710um) - (411.975um, 655.650um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (411.745um, 729.310um) - (411.975um, 731.250um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (411.745um, 804.910um) - (411.975um, 806.850um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (411.745um, 880.510um) - (411.975um, 882.450um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (411.745um, 956.110um) - (411.975um, 958.050um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (411.745um, 1031.710um) - (411.975um, 1033.650um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (411.745um, 1107.310um) - (411.975um, 1109.250um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (411.975um, 503.550um) - (413.985um, 504.450um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (411.975um, 579.150um) - (413.985um, 580.050um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (411.975um, 654.750um) - (413.985um, 655.650um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (411.975um, 730.350um) - (413.985um, 731.250um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (411.975um, 805.950um) - (413.985um, 806.850um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (411.975um, 881.550um) - (413.985um, 882.450um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (411.975um, 957.150um) - (413.985um, 958.050um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (411.975um, 1032.750um) - (413.985um, 1033.650um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (411.975um, 1108.350um) - (413.985um, 1109.250um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (413.985um, 502.510um) - (414.215um, 504.450um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (413.985um, 578.110um) - (414.215um, 580.050um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (413.985um, 653.710um) - (414.215um, 655.650um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (413.985um, 729.310um) - (414.215um, 731.250um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (413.985um, 804.910um) - (414.215um, 806.850um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (413.985um, 880.510um) - (414.215um, 882.450um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (413.985um, 956.110um) - (414.215um, 958.050um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (413.985um, 1031.710um) - (414.215um, 1033.650um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (413.985um, 1107.310um) - (414.215um, 1109.250um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (414.215um, 503.550um) - (414.960um, 504.450um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (414.215um, 579.150um) - (414.960um, 580.050um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (414.215um, 654.750um) - (414.960um, 655.650um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (414.215um, 730.350um) - (414.960um, 731.250um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (414.215um, 805.950um) - (414.960um, 806.850um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (414.215um, 881.550um) - (414.960um, 882.450um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (414.215um, 957.150um) - (414.960um, 958.050um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (414.215um, 1032.750um) - (414.960um, 1033.650um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (414.215um, 1108.350um) - (414.960um, 1109.250um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (558.880um, 564.030um) - (559.110um, 564.930um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.110um, 561.780um) - (559.730um, 567.180um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (558.880um, 574.110um) - (559.110um, 575.010um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.110um, 571.860um) - (559.730um, 577.260um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (558.880um, 584.190um) - (559.110um, 585.090um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.110um, 581.940um) - (559.730um, 587.340um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (558.880um, 594.270um) - (559.110um, 595.170um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.110um, 592.020um) - (559.730um, 597.420um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (558.880um, 604.350um) - (559.110um, 605.250um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.110um, 602.100um) - (559.730um, 607.500um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (558.880um, 614.430um) - (559.110um, 615.330um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.110um, 612.180um) - (559.730um, 617.580um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (558.880um, 624.510um) - (559.110um, 625.410um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.110um, 622.260um) - (559.730um, 627.660um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (558.880um, 634.590um) - (559.110um, 635.490um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.110um, 632.340um) - (559.730um, 637.740um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (558.880um, 644.670um) - (559.110um, 645.570um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.110um, 642.420um) - (559.730um, 647.820um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (558.880um, 654.750um) - (559.110um, 655.650um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.110um, 652.500um) - (559.730um, 657.900um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (558.880um, 664.830um) - (559.110um, 665.730um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.110um, 662.580um) - (559.730um, 667.980um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (558.880um, 674.910um) - (559.110um, 675.810um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.110um, 672.660um) - (559.730um, 678.060um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (558.880um, 684.990um) - (559.110um, 685.890um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.110um, 682.740um) - (559.730um, 688.140um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (558.880um, 695.070um) - (559.110um, 695.970um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.110um, 692.820um) - (559.730um, 698.220um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (558.880um, 705.150um) - (559.110um, 706.050um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.110um, 702.900um) - (559.730um, 708.300um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (558.880um, 715.230um) - (559.110um, 716.130um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.110um, 712.980um) - (559.730um, 718.380um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (558.880um, 725.310um) - (559.110um, 726.210um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.110um, 723.060um) - (559.730um, 728.460um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (558.880um, 735.390um) - (559.110um, 736.290um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.110um, 733.140um) - (559.730um, 738.540um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.110um, 743.220um) - (559.730um, 748.620um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (558.880um, 745.470um) - (559.110um, 746.370um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (558.880um, 755.550um) - (559.110um, 756.450um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.110um, 753.300um) - (559.730um, 758.700um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (558.880um, 765.630um) - (559.110um, 766.530um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.110um, 763.380um) - (559.730um, 768.780um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (558.880um, 775.710um) - (559.110um, 776.610um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.110um, 773.460um) - (559.730um, 778.860um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.110um, 783.540um) - (559.730um, 788.940um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (558.880um, 785.790um) - (559.110um, 786.690um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.110um, 793.620um) - (559.730um, 799.020um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (558.880um, 795.870um) - (559.110um, 796.770um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (558.880um, 805.950um) - (559.110um, 806.850um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.110um, 803.700um) - (559.730um, 809.100um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (558.880um, 816.030um) - (559.110um, 816.930um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.110um, 813.780um) - (559.730um, 819.180um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (558.880um, 826.110um) - (559.110um, 827.010um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.110um, 823.860um) - (559.730um, 829.260um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (558.880um, 836.190um) - (559.110um, 837.090um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.110um, 833.940um) - (559.730um, 839.340um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.110um, 844.020um) - (559.730um, 849.420um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (558.880um, 846.270um) - (559.110um, 847.170um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.110um, 854.100um) - (559.730um, 859.500um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (558.880um, 856.350um) - (559.110um, 857.250um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (558.880um, 866.430um) - (559.110um, 867.330um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.110um, 864.180um) - (559.730um, 869.580um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (558.880um, 876.510um) - (559.110um, 877.410um), layer: Metal1.
